Date,family,sales,onpromotion
12/01/2013,DAIRY,404,0
12/01/2013,DELI,107.167,0
12/01/2013,EGGS,166,0
12/01/2013,FROZEN FOODS,83.905,0
12/01/2013,GROCERY I,1796,0
12/01/2013,GROCERY II,33,0
12/01/2013,HARDWARE,1,0
12/01/2013,HOME AND KITCHEN I,0,0
12/01/2013,HOME AND KITCHEN II,0,0
12/01/2013,HOME APPLIANCES,0,0
12/01/2013,HOME CARE,0,0
12/01/2013,LADIESWEAR,0,0
12/01/2013,LAWN AND GARDEN,0,0
12/01/2013,LINGERIE,8,0
12/01/2013,"LIQUOR,WINE,BEER",197,0
12/01/2013,MAGAZINES,0,0
12/01/2013,MEATS,260.07098,0
12/01/2013,PERSONAL CARE,103,0
12/01/2013,PET SUPPLIES,0,0
12/01/2013,PLAYERS AND ELECTRONICS,0,0
12/01/2013,POULTRY,140.046,0
12/01/2013,PREPARED FOODS,54,0
12/01/2013,PRODUCE,0,0
12/01/2013,SCHOOL AND OFFICE SUPPLIES,0,0
12/01/2013,SEAFOOD,26.913,0
13/01/2013,AUTOMOTIVE,2,0
13/01/2013,BABY CARE,0,0
13/01/2013,BEAUTY,0,0
13/01/2013,BEVERAGES,572,0
13/01/2013,BOOKS,0,0
13/01/2013,BREAD/BAKERY,151.22,0
13/01/2013,CELEBRATION,0,0
13/01/2013,CLEANING,270,0
13/01/2013,DAIRY,194,0
13/01/2013,DELI,41.126,0
13/01/2013,EGGS,98,0
13/01/2013,FROZEN FOODS,47,0
13/01/2013,GROCERY I,961,0
13/01/2013,GROCERY II,9,0
13/01/2013,HARDWARE,0,0
13/01/2013,HOME AND KITCHEN I,0,0
13/01/2013,HOME AND KITCHEN II,0,0
13/01/2013,HOME APPLIANCES,0,0
13/01/2013,HOME CARE,0,0
13/01/2013,LADIESWEAR,0,0
13/01/2013,LAWN AND GARDEN,6,0
13/01/2013,LINGERIE,10,0
13/01/2013,"LIQUOR,WINE,BEER",0,0
13/01/2013,MAGAZINES,0,0
13/01/2013,MEATS,131.269,0
13/01/2013,PERSONAL CARE,61,0
13/01/2013,PET SUPPLIES,0,0
13/01/2013,PLAYERS AND ELECTRONICS,0,0
13/01/2013,POULTRY,88.117004,0
13/01/2013,PREPARED FOODS,38,0
13/01/2013,PRODUCE,0,0
13/01/2013,SCHOOL AND OFFICE SUPPLIES,0,0
13/01/2013,SEAFOOD,14.146,0
14/01/2013,AUTOMOTIVE,2,0
14/01/2013,BABY CARE,0,0
14/01/2013,BEAUTY,2,0
14/01/2013,BEVERAGES,1178,0
14/01/2013,BOOKS,0,0
14/01/2013,BREAD/BAKERY,281.286,0
14/01/2013,CELEBRATION,0,0
14/01/2013,CLEANING,692,0
14/01/2013,DAIRY,411,0
14/01/2013,DELI,144.155,0
14/01/2013,EGGS,143,0
14/01/2013,FROZEN FOODS,78.15,0
14/01/2013,GROCERY I,1902,0
14/01/2013,GROCERY II,19,0
14/01/2013,HARDWARE,1,0
14/01/2013,HOME AND KITCHEN I,0,0
14/01/2013,HOME AND KITCHEN II,0,0
14/01/2013,HOME APPLIANCES,0,0
14/01/2013,HOME CARE,0,0
14/01/2013,LADIESWEAR,0,0
14/01/2013,LAWN AND GARDEN,4,0
14/01/2013,LINGERIE,12,0
14/01/2013,"LIQUOR,WINE,BEER",94,0
14/01/2013,MAGAZINES,0,0
14/01/2013,MEATS,311.573,0
14/01/2013,PERSONAL CARE,84,0
14/01/2013,PET SUPPLIES,0,0
14/01/2013,PLAYERS AND ELECTRONICS,0,0
14/01/2013,POULTRY,195.12401,0
14/01/2013,PREPARED FOODS,64,0
14/01/2013,PRODUCE,0,0
14/01/2013,SCHOOL AND OFFICE SUPPLIES,0,0
14/01/2013,SEAFOOD,33.397,0
15/01/2013,AUTOMOTIVE,1,0
15/01/2013,BABY CARE,0,0
15/01/2013,BEAUTY,0,0
15/01/2013,BEVERAGES,1149,0
15/01/2013,BOOKS,0,0
15/01/2013,BREAD/BAKERY,285.612,0
15/01/2013,CELEBRATION,0,0
15/01/2013,CLEANING,686,0
15/01/2013,DAIRY,357,0
15/01/2013,DELI,100.801,0
15/01/2013,EGGS,136,0
15/01/2013,FROZEN FOODS,47,0
15/01/2013,GROCERY I,1671,0
15/01/2013,GROCERY II,30,0
15/01/2013,HARDWARE,1,0
15/01/2013,HOME AND KITCHEN I,0,0
15/01/2013,HOME AND KITCHEN II,0,0
15/01/2013,HOME APPLIANCES,0,0
15/01/2013,HOME CARE,0,0
15/01/2013,LADIESWEAR,0,0
15/01/2013,LAWN AND GARDEN,7,0
15/01/2013,LINGERIE,18,0
15/01/2013,"LIQUOR,WINE,BEER",64,0
15/01/2013,MAGAZINES,0,0
15/01/2013,MEATS,287.346,0
15/01/2013,PERSONAL CARE,95,0
15/01/2013,PET SUPPLIES,0,0
15/01/2013,PLAYERS AND ELECTRONICS,0,0
15/01/2013,POULTRY,184.33,0
15/01/2013,PREPARED FOODS,61,0
15/01/2013,PRODUCE,0,0
15/01/2013,SCHOOL AND OFFICE SUPPLIES,0,0
15/01/2013,SEAFOOD,23.085,0
16/01/2013,AUTOMOTIVE,1,0
16/01/2013,BABY CARE,0,0
16/01/2013,BEAUTY,2,0
16/01/2013,BEVERAGES,1043,0
16/01/2013,BOOKS,0,0
16/01/2013,BREAD/BAKERY,386.158,0
16/01/2013,CELEBRATION,0,0
16/01/2013,CLEANING,980,0
16/01/2013,DAIRY,519,0
16/01/2013,DELI,116.265,0
16/01/2013,EGGS,207,0
16/01/2013,FROZEN FOODS,102,0
16/01/2013,GROCERY I,2387,0
16/01/2013,GROCERY II,35,0
16/01/2013,HARDWARE,8,0
16/01/2013,HOME AND KITCHEN I,0,0
16/01/2013,HOME AND KITCHEN II,0,0
16/01/2013,HOME APPLIANCES,0,0
16/01/2013,HOME CARE,0,0
16/01/2013,LADIESWEAR,0,0
16/01/2013,LAWN AND GARDEN,11,0
16/01/2013,LINGERIE,17,0
16/01/2013,"LIQUOR,WINE,BEER",79,0
16/01/2013,MAGAZINES,0,0
16/01/2013,MEATS,369.492,0
16/01/2013,PERSONAL CARE,118,0
16/01/2013,PET SUPPLIES,0,0
16/01/2013,PLAYERS AND ELECTRONICS,0,0
16/01/2013,POULTRY,225.768,0
16/01/2013,PREPARED FOODS,89,0
16/01/2013,PRODUCE,0,0
16/01/2013,SCHOOL AND OFFICE SUPPLIES,0,0
16/01/2013,SEAFOOD,37.913002,0
17/01/2013,AUTOMOTIVE,1,0
17/01/2013,BABY CARE,0,0
17/01/2013,BEAUTY,2,0
17/01/2013,BEVERAGES,898,0
17/01/2013,BOOKS,0,0
17/01/2013,BREAD/BAKERY,278.754,0
17/01/2013,CELEBRATION,0,0
17/01/2013,CLEANING,696,0
17/01/2013,DAIRY,373,0
17/01/2013,DELI,118.133,0
17/01/2013,EGGS,132,0
17/01/2013,FROZEN FOODS,61,0
17/01/2013,GROCERY I,1648,0
17/01/2013,GROCERY II,24,0
17/01/2013,HARDWARE,4,0
17/01/2013,HOME AND KITCHEN I,0,0
17/01/2013,HOME AND KITCHEN II,0,0
17/01/2013,HOME APPLIANCES,0,0
17/01/2013,HOME CARE,0,0
17/01/2013,LADIESWEAR,0,0
17/01/2013,LAWN AND GARDEN,0,0
17/01/2013,LINGERIE,8,0
17/01/2013,"LIQUOR,WINE,BEER",86,0
17/01/2013,MAGAZINES,0,0
17/01/2013,MEATS,280.879,0
17/01/2013,PERSONAL CARE,100,0
17/01/2013,PET SUPPLIES,0,0
17/01/2013,PLAYERS AND ELECTRONICS,0,0
17/01/2013,POULTRY,140.855,0
17/01/2013,PREPARED FOODS,71,0
17/01/2013,PRODUCE,0,0
17/01/2013,SCHOOL AND OFFICE SUPPLIES,0,0
17/01/2013,SEAFOOD,19.853,0
18/01/2013,AUTOMOTIVE,0,0
18/01/2013,BABY CARE,0,0
18/01/2013,BEAUTY,4,0
18/01/2013,BEVERAGES,1130,0
18/01/2013,BOOKS,0,0
18/01/2013,BREAD/BAKERY,270.991,0
18/01/2013,CELEBRATION,0,0
18/01/2013,CLEANING,758,0
18/01/2013,DAIRY,464,0
18/01/2013,DELI,140.52,0
18/01/2013,EGGS,170,0
18/01/2013,FROZEN FOODS,90,0
18/01/2013,GROCERY I,1804,0
18/01/2013,GROCERY II,32,0
18/01/2013,HARDWARE,1,0
18/01/2013,HOME AND KITCHEN I,0,0
18/01/2013,HOME AND KITCHEN II,0,0
18/01/2013,HOME APPLIANCES,0,0
18/01/2013,HOME CARE,0,0
18/01/2013,LADIESWEAR,0,0
18/01/2013,LAWN AND GARDEN,0,0
18/01/2013,LINGERIE,42,0
18/01/2013,"LIQUOR,WINE,BEER",120,0
18/01/2013,MAGAZINES,0,0
18/01/2013,MEATS,519.204,0
18/01/2013,PERSONAL CARE,69,0
18/01/2013,PET SUPPLIES,0,0
18/01/2013,PLAYERS AND ELECTRONICS,0,0
18/01/2013,POULTRY,215.439,0
18/01/2013,PREPARED FOODS,62,0
18/01/2013,PRODUCE,0,0
18/01/2013,SCHOOL AND OFFICE SUPPLIES,0,0
18/01/2013,SEAFOOD,30.970001,0
19/01/2013,AUTOMOTIVE,5,0
19/01/2013,BABY CARE,0,0
19/01/2013,BEAUTY,4,0
19/01/2013,BEVERAGES,1280,0
19/01/2013,BOOKS,0,0
19/01/2013,BREAD/BAKERY,322.255,0
19/01/2013,CELEBRATION,0,0
19/01/2013,CLEANING,610,0
19/01/2013,DAIRY,447,0
19/01/2013,DELI,134.437,0
19/01/2013,EGGS,175,0
19/01/2013,FROZEN FOODS,140,0
19/01/2013,GROCERY I,1956,0
19/01/2013,GROCERY II,47,0
19/01/2013,HARDWARE,0,0
19/01/2013,HOME AND KITCHEN I,0,0
19/01/2013,HOME AND KITCHEN II,0,0
19/01/2013,HOME APPLIANCES,0,0
19/01/2013,HOME CARE,0,0
19/01/2013,LADIESWEAR,0,0
19/01/2013,LAWN AND GARDEN,4,0
19/01/2013,LINGERIE,26,0
19/01/2013,"LIQUOR,WINE,BEER",145,0
19/01/2013,MAGAZINES,0,0
19/01/2013,MEATS,284.484,0
19/01/2013,PERSONAL CARE,92,0
19/01/2013,PET SUPPLIES,0,0
19/01/2013,PLAYERS AND ELECTRONICS,0,0
19/01/2013,POULTRY,139.45,0
19/01/2013,PREPARED FOODS,66,0
19/01/2013,PRODUCE,0,0
19/01/2013,SCHOOL AND OFFICE SUPPLIES,0,0
19/01/2013,SEAFOOD,17.52,0
20/01/2013,AUTOMOTIVE,3,0
20/01/2013,BABY CARE,0,0
20/01/2013,BEAUTY,1,0
20/01/2013,BEVERAGES,453,0
20/01/2013,BOOKS,0,0
20/01/2013,BREAD/BAKERY,112.410995,0
20/01/2013,CELEBRATION,0,0
20/01/2013,CLEANING,240,0
20/01/2013,DAIRY,177,0
20/01/2013,DELI,52.693,0
20/01/2013,EGGS,80,0
20/01/2013,FROZEN FOODS,36,0
20/01/2013,GROCERY I,895,0
20/01/2013,GROCERY II,10,0
20/01/2013,HARDWARE,0,0
20/01/2013,HOME AND KITCHEN I,0,0
20/01/2013,HOME AND KITCHEN II,0,0
20/01/2013,HOME APPLIANCES,0,0
20/01/2013,HOME CARE,0,0
20/01/2013,LADIESWEAR,0,0
20/01/2013,LAWN AND GARDEN,5,0
20/01/2013,LINGERIE,4,0
20/01/2013,"LIQUOR,WINE,BEER",0,0
20/01/2013,MAGAZINES,0,0
20/01/2013,MEATS,108.286,0
20/01/2013,PERSONAL CARE,48,0
20/01/2013,PET SUPPLIES,0,0
20/01/2013,PLAYERS AND ELECTRONICS,0,0
20/01/2013,POULTRY,98.501,0
20/01/2013,PREPARED FOODS,28,0
20/01/2013,PRODUCE,0,0
20/01/2013,SCHOOL AND OFFICE SUPPLIES,0,0
20/01/2013,SEAFOOD,19.243,0
21/01/2013,AUTOMOTIVE,1,0
21/01/2013,BABY CARE,0,0
21/01/2013,BEAUTY,0,0
21/01/2013,BEVERAGES,1104,0
21/01/2013,BOOKS,0,0
21/01/2013,BREAD/BAKERY,294.395,0
21/01/2013,CELEBRATION,0,0
21/01/2013,CLEANING,620,0
21/01/2013,DAIRY,399,0
21/01/2013,DELI,109.521,0
21/01/2013,EGGS,174,0
21/01/2013,FROZEN FOODS,57,0
21/01/2013,GROCERY I,1679,0
21/01/2013,GROCERY II,8,0
21/01/2013,HARDWARE,1,0
21/01/2013,HOME AND KITCHEN I,0,0
21/01/2013,HOME AND KITCHEN II,0,0
21/01/2013,HOME APPLIANCES,0,0
21/01/2013,HOME CARE,0,0
21/01/2013,LADIESWEAR,0,0
21/01/2013,LAWN AND GARDEN,8,0
21/01/2013,LINGERIE,5,0
21/01/2013,"LIQUOR,WINE,BEER",80,0
